index,ID,Numax,Numax_err,Dnu_median_all,Dnu_median_all_err,Dnu_lin_all,Dnu_lin_all_err,Dnu_median,Dnu_median_err,Dnu_lin_m,Dnu_lin_m_err,q0,q1,q2,d02,d02_err,lw,lw_err,Amax,Aw,Ah,Amax_err,Aw_err,Ah_err,Amax2,Aw2,Ah2,Amax2_err,Aw2_err,Ah2_err
55,11546913,177.80454002480187,7.463514013334602,13.291819490176337,0.02640804420655084,13.269688233434312,0.010544755487122774,13.28984298554893,0.02638667904231766,13.283826462867477,0.010175384853310883,0.05989006944418273,12.850575784621089,124.51327283528039,1.6446109779606672,0.11999665565754608,-1.5015808108298134,0.423773562345487,169.9296777408465,31.053653419289752,6299.759499060758,2.2358995834951143,2.9374507284341984,679.2109679356698,174.45385962962274,25.91586510140565,6385.10850831071,2.0397345658836774,4.368215739856504,825.639961098382
56,11598116,17.44575579569543,0.4933709839488972,2.4986533548998278,0.012458386398676058,2.4825213745268044,0.009207205024068653,2.4976973994176994,0.012199625610239802,2.470909769707753,0.0060519935650483235,0.030605567462957554,2.3294112444198793,12.392502350452345,0.3402756369536366,0.058548591158452144,-2.893469530314654,0.2839868516674693,17.651264199536477,3.1399208102812537,45134935.64468856,0.4741277789263859,0.9921318905739639,75127013.53663169,16.797933587761275,3.482016301524501,-84222770.76234332,0.5226917470538278,0.8331731515037939,25618965.221484717
57,11494312,36.98835461125761,1.5994235486898059,4.309202123031394,0.04058893089548912,4.319878939795943,0.017256087108390654,4.293426024616078,0.029805707590123787,4.247728640344885,0.010676184741282999,0.030775814254953245,4.165998281388045,29.945952233699515,0.648513199372065,0.04060510252844214,-2.2972275930038686,0.670875395221523,37.69307813035982,3.7544168661409874,-8295586.638936738,0.8016597065113824,4.805282369646727,2694319.1993261166,36.61553495478164,8.770937979191373,-3744996.003647036,1.7635055847958088,2.568832201764349,3831949.9909922103
58,11441797,56.12413868705728,0.4941275267305325,5.82117184206172,0.009457656158774747,5.841325206830225,0.011216087097373288,5.80611784992125,0.01474223799527508,5.806772282664403,0.008099533351486691,0.05601596814891474,5.504962835004015,41.70024138857821,0.7905821778953168,0.0515896750117969,-2.075873237727712,0.33625447940082065,55.83996828685204,10.243021226364714,-1286901.6553516183,0.9169528485401126,1.126330200965446,257678.5067240484,55.121276229452185,11.841289074455148,747073.2600317751,1.628955587058413,2.8907424500683465,476151.02799467096
59,11442227,26.565856718247414,1.003954518825187,3.42738067445495,0.014986980905233562,3.383537760265263,0.008089285012175972,3.4091825213117524,0.02383929591221494,3.34437596976305,0.011358585535864907,0.050743524206466606,3.1796708841678125,20.37321821633582,0.5265579783633214,0.032155845060536585,-1.9614664520837624,0.2402174710641077,25.04029974583056,5.371706104872205,19349836.94277975,0.7934931357998805,1.331208901263334,4321547.483271723,26.956216329865285,4.029631067357865,7608038.175833693,1.3323482153695099,2.0683692383596872,3547597.3431888553
60,11177727,30.397200979143037,0.4431263247967586,3.7697697460089046,0.015596410272671758,3.77223779951092,0.014505870055130215,3.745355333635368,0.013755430161542197,3.6857162319836996,0.00577767622801375,0.04364818627724604,3.5519341510901614,22.931999247986177,0.5218477706396651,0.028227897350584983,-2.1371808432325823,0.5521597740712076,29.85360484524768,5.375776539415374,-19511284.273232333,0.6378201024192884,0.7461291222765534,3262795.5913931285,30.745187193856125,4.854676232232903,8808754.281742124,0.7242703698788957,1.2227017077666629,3077697.739233285
61,11905840,119.6661052348859,0.8359867267162667,10.328493820723239,0.017052802300666543,10.253021254520561,0.01115096239733006,10.172257225240656,0.015423121383890081,10.181192067507583,0.00854446285895625,0.054739675989832176,9.869666048719363,85.15828004871555,1.295727358383573,0.09137979554209034,-1.9054005344186435,0.6016310144808286,113.09412242015536,19.059694521215654,-45496.35068362955,1.780968623477999,2.0990188615936414,8575.980995534388,118.68601574763942,21.09818159875909,24276.828946098118,2.272930199986,4.422379628340155,3269.8394980795033
62,11955410,32.31509206853479,1.2826599346908159,4.099813318994017,0.016054097685348847,4.0753074401770615,0.009564367123115132,4.083350419595195,0.021536438811930608,4.031767047507425,0.009566452487700746,0.048402046281989464,3.881588900415916,24.490431586762206,0.6317476155111947,0.048713718455510716,-2.0442976611417003,0.43860718419081457,32.111835756160886,5.518006757885251,19476463.414123178,0.7460810945755939,1.1573211818501417,4510986.382600087,33.779943532462745,4.054407362363647,14723308.836649967,0.976505041268757,1.047909427061663,4588181.4207246695
63,12005162,159.95725165682146,4.310912574937669,12.842580004356954,0.009271147289237816,12.85076724655016,0.008720736821675984,12.834776895905279,0.011293109320039072,12.831151128058238,0.008589857470870389,0.053658493250897075,12.529400827872802,119.98455134991158,1.6675009247659318,0.13156038377593848,-1.9948443038821304,0.6553635749928612,154.47503642957165,16.996460924908785,-21299.5414547904,2.072874975314028,6.027213216180515,6924.576195140984,155.081796674661,23.335061762109046,6941.509366950659,1.8306535213222304,2.8884276964134834,911.756295633714
64,11805460,36.54601433355055,0.7881349618844681,4.30204850032883,0.05112771451106286,4.278136095921656,0.012428931310024646,4.209310336708487,0.02570641116755765,4.235781369589628,0.007798216100313965,0.0214785160521865,4.170961395771336,29.5926602099943,0.6133574767135386,0.1303293337148774,-2.048694640832027,0.29912091967255133,37.22428916013132,4.253998415506393,-10281476.106176827,0.7453300859093624,2.2366241178557926,2643954.1086359406,35.01369369578137,4.599870129651206,-9738607.261478197,0.8660903351255825,1.7096973260127848,4341254.907202632
65,11805792,34.61130938741429,1.4014818374639872,4.0689357193434965,0.03547644280100725,4.089424559328297,0.024043746117531378,4.0924309969087815,0.03769002362064564,4.104536702545298,0.020445563006082926,-0.003968615463279052,4.106209401651057,28.64847871858947,0.5540739531150862,0.06974276311683042,-2.3538173635275523,0.6311848223847462,35.15623918363503,5.115037823398897,6461715.17308644,0.9306821071630582,1.399687051000815,1695710.6075038477,35.20768329404598,3.823082541039569,5119983.738909306,0.9199355651278365,1.2598249719202372,1736367.9416126946
